Date Time Served,Bar Name,Alcohol Type,Brand Name,Opening Balance (ml),Purchase (ml),Consumed (ml),Closing Balance (ml),Date,Month,Day,DayOfWeek,Hour,Recommended_Par_Level,Simulated_Closing,Stockout,Overstock
2023-01-01 19:35:00,Smith's Bar,Rum,Captain Morgan,2555.04,1824.84,0.0,4379.88,2023-01-01,1,1,Sunday,19,4000.0,4379.88,False,False
2023-01-01 10:07:00,Smith's Bar,Wine,Yellow Tail,1344.37,0.0,0.0,1344.37,2023-01-01,1,1,Sunday,10,4500.0,1344.37,False,False
2023-01-01 11:26:00,Johnson's Bar,Vodka,Grey Goose,1034.28,0.0,0.0,1034.28,2023-01-01,1,1,Sunday,11,5000.0,1034.28,False,False
2023-01-01 13:53:00,Johnson's Bar,Beer,Coors,2194.53,0.0,0.0,2194.53,2023-01-01,1,1,Sunday,13,4200.0,2194.53,False,False
2023-01-01 22:28:00,Johnson's Bar,Wine,Yellow Tail,1020.9,0.0,0.0,1020.9,2023-01-01,1,1,Sunday,22,3800.0,1020.9,False,False
2023-01-01 10:28:00,Brown's Bar,Vodka,Grey Goose,2560.44,0.0,0.0,2560.44,2023-01-01,1,1,Sunday,10,3900.0,2560.44,False,False
2023-01-01 14:47:00,Brown's Bar,Whiskey,Jim Beam,826.2,0.0,0.0,826.2,2023-01-01,1,1,Sunday,14,3300.0,826.2,False,False
2023-01-01 18:34:00,Brown's Bar,Rum,Captain Morgan,2330.03,0.0,0.0,2330.03,2023-01-01,1,1,Sunday,18,3300.0,2330.03,False,False
2023-01-01 17:23:00,Taylor's Bar,Vodka,Absolut,1736.08,0.0,0.0,1736.08,2023-01-01,1,1,Sunday,17,4800.0,1736.08,False,False
2023-01-01 17:33:00,Taylor's Bar,Whiskey,Jack Daniels,2254.32,0.0,0.0,2254.32,2023-01-01,1,1,Sunday,17,4000.0,2254.32,False,False
2023-01-01 15:31:00,Taylor's Bar,Wine,Sutter Home,2343.94,0.0,0.0,2343.94,2023-01-01,1,1,Sunday,15,5200.0,2343.94,False,False
2023-01-01 18:13:00,Anderson's Bar,Wine,Sutter Home,2017.45,0.0,0.0,2017.45,2023-01-01,1,1,Sunday,18,5000.0,2017.45,False,False
2023-01-01 18:30:00,Anderson's Bar,Beer,Miller,1963.7,0.0,0.0,1963.7,2023-01-01,1,1,Sunday,18,4700.0,1963.7,False,False
2023-01-01 11:32:00,Anderson's Bar,Whiskey,Jim Beam,872.08,0.0,0.0,872.08,2023-01-01,1,1,Sunday,11,5100.0,872.08,False,False
2023-01-01 15:55:00,Anderson's Bar,Rum,Bacardi,1109.09,0.0,0.0,1109.09,2023-01-01,1,1,Sunday,15,4400.0,1109.09,False,False
2023-01-01 18:14:00,Thomas's Bar,Beer,Miller,1765.38,563.67,0.0,2329.05,2023-01-01,1,1,Sunday,18,4800.0,2329.05,False,False
2023-01-01 20:36:00,Thomas's Bar,Rum,Malibu,1493.67,837.09,0.0,2330.76,2023-01-01,1,1,Sunday,20,3800.0,2330.76,False,False
2023-01-02 19:32:00,Smith's Bar,Wine,Sutter Home,2021.23,1483.87,506.75,2998.35,2023-01-02,1,2,Monday,19,3200.0,2998.35,False,False
2023-01-02 21:53:00,Smith's Bar,Whiskey,Jack Daniels,2632.07,0.0,366.87,2265.2,2023-01-02,1,2,Monday,21,4400.0,2265.2000000000003,False,False
2023-01-02 20:10:00,Smith's Bar,Vodka,Grey Goose,2649.78,0.0,212.64,2437.14,2023-01-02,1,2,Monday,20,3800.0,2437.1400000000003,False,False
2023-01-02 13:18:00,Johnson's Bar,Whiskey,Jameson,1146.71,0.0,301.07,845.64,2023-01-02,1,2,Monday,13,4000.0,845.6400000000001,False,False
2023-01-02 16:07:00,Johnson's Bar,Beer,Coors,2194.53,960.03,225.46,2929.1,2023-01-02,1,2,Monday,16,4200.0,2929.1000000000004,False,False
2023-01-02 22:49:00,Johnson's Bar,Wine,Yellow Tail,1020.9,0.0,217.93,802.97,2023-01-02,1,2,Monday,22,3800.0,802.97,False,False
2023-01-02 13:23:00,Johnson's Bar,Vodka,Smirnoff,2241.91,0.0,543.16,1698.75,2023-01-02,1,2,Monday,13,3700.0,1698.75,False,False
2023-01-02 17:26:00,Brown's Bar,Vodka,Absolut,1493.72,0.0,376.31,1117.41,2023-01-02,1,2,Monday,17,2600.0,1117.41,False,False
2023-01-02 22:34:00,Brown's Bar,Wine,Yellow Tail,2792.52,0.0,535.95,2256.57,2023-01-02,1,2,Monday,22,6300.0,2256.5699999999997,False,False
2023-01-02 16:29:00,Brown's Bar,Rum,Bacardi,748.43,0.0,134.75,613.68,2023-01-02,1,2,Monday,16,3300.0,613.68,False,False
2023-01-02 20:20:00,Brown's Bar,Whiskey,Jack Daniels,623.5,0.0,200.99,422.51,2023-01-02,1,2,Monday,20,2400.0,422.51,True,False
2023-01-02 18:24:00,Taylor's Bar,Beer,Coors,1862.65,0.0,310.2,1552.45,2023-01-02,1,2,Monday,18,3500.0,1552.45,False,False
2023-01-02 20:54:00,Taylor's Bar,Rum,Malibu,750.9,857.77,497.71,1110.96,2023-01-02,1,2,Monday,20,4300.0,1110.96,False,False
2023-01-02 13:19:00,Taylor's Bar,Vodka,Grey Goose,2249.09,1120.39,475.98,2893.5,2023-01-02,1,2,Monday,13,3700.0,2893.5000000000005,False,False
2023-01-02 10:34:00,Taylor's Bar,Whiskey,Jameson,1173.35,0.0,114.08,1059.27,2023-01-02,1,2,Monday,10,4100.0,1059.27,False,False
2023-01-02 21:05:00,Anderson's Bar,Vodka,Absolut,1309.92,0.0,118.62,1191.3,2023-01-02,1,2,Monday,21,3500.0,1191.3000000000002,False,False
2023-01-02 16:34:00,Anderson's Bar,Beer,Coors,924.0,0.0,440.55,483.45,2023-01-02,1,2,Monday,16,4400.0,483.45,True,False
2023-01-02 20:46:00,Thomas's Bar,Whiskey,Jameson,1564.81,0.0,143.76,1421.05,2023-01-02,1,2,Monday,20,2900.0,1421.05,False,False
2023-01-02 14:34:00,Thomas's Bar,Rum,Captain Morgan,514.9,1053.91,533.8,1035.01,2023-01-02,1,2,Monday,14,4200.0,1035.01,False,False
2023-01-02 12:41:00,Thomas's Bar,Vodka,Smirnoff,1480.34,877.79,345.11,2013.02,2023-01-02,1,2,Monday,12,4600.0,2013.02,False,False
2023-01-03 12:36:00,Smith's Bar,Whiskey,Jim Beam,1636.74,0.0,508.02,1128.72,2023-01-03,1,3,Tuesday,12,4400.0,1128.72,False,False
2023-01-03 22:33:00,Smith's Bar,Beer,Budweiser,580.68,0.0,345.15,235.53,2023-01-03,1,3,Tuesday,22,4000.0,235.52999999999997,True,False
2023-01-03 10:02:00,Johnson's Bar,Rum,Malibu,2054.73,1398.53,538.18,2915.08,2023-01-03,1,3,Tuesday,10,3600.0,2915.0800000000004,False,False
2023-01-03 10:23:00,Johnson's Bar,Beer,Coors,2929.1,0.0,479.89,2449.21,2023-01-03,1,3,Tuesday,10,4200.0,2449.21,False,False
2023-01-03 15:21:00,Brown's Bar,Beer,Heineken,2182.19,0.0,394.25,1787.94,2023-01-03,1,3,Tuesday,15,4600.0,1787.94,False,False
2023-01-03 20:00:00,Brown's Bar,Whiskey,Jim Beam,826.2,0.0,227.73,598.0,2023-01-03,1,3,Tuesday,20,3300.0,598.47,False,False
2023-01-03 15:43:00,Brown's Bar,Rum,Bacardi,613.68,0.0,467.87,145.81,2023-01-03,1,3,Tuesday,15,3300.0,145.80999999999995,True,False
2023-01-03 21:58:00,Brown's Bar,Wine,Sutter Home,1290.67,0.0,309.29,981.38,2023-01-03,1,3,Tuesday,21,3000.0,981.3800000000001,False,False
2023-01-03 14:30:00,Taylor's Bar,Beer,Heineken,628.04,0.0,229.88,398.16,2023-01-03,1,3,Tuesday,14,4400.0,398.15999999999997,True,False
2023-01-03 17:54:00,Taylor's Bar,Rum,Bacardi,2206.15,0.0,424.95,1781.2,2023-01-03,1,3,Tuesday,17,3800.0,1781.2,False,False
2023-01-03 11:35:00,Taylor's Bar,Whiskey,Jameson,1059.27,1181.51,400.99,1839.79,2023-01-03,1,3,Tuesday,11,4100.0,1839.7899999999997,False,False
2023-01-03 11:58:00,Taylor's Bar,Vodka,Grey Goose,2893.5,530.56,350.14,3073.92,2023-01-03,1,3,Tuesday,11,3700.0,3073.92,False,False
2023-01-03 21:05:00,Anderson's Bar,Vodka,Smirnoff,2629.52,0.0,264.7,2364.82,2023-01-03,1,3,Tuesday,21,6100.0,2364.82,False,False
2023-01-03 19:19:00,Anderson's Bar,Whiskey,Jim Beam,872.08,1911.3,363.32,2420.06,2023-01-03,1,3,Tuesday,19,5100.0,2420.06,False,False
2023-01-03 19:41:00,Anderson's Bar,Wine,Barefoot,2877.3,0.0,479.09,2398.21,2023-01-03,1,3,Tuesday,19,3300.0,2398.21,False,False
2023-01-03 16:20:00,Thomas's Bar,Wine,Sutter Home,1949.64,734.47,166.29,2517.82,2023-01-03,1,3,Tuesday,16,1500.0,2517.82,False,True
2023-01-03 11:56:00,Thomas's Bar,Vodka,Grey Goose,2688.97,0.0,561.63,2127.34,2023-01-03,1,3,Tuesday,11,4600.0,2127.3399999999997,False,False
2023-01-03 15:31:00,Thomas's Bar,Whiskey,Jim Beam,845.18,0.0,230.66,614.52,2023-01-03,1,3,Tuesday,15,2200.0,614.52,False,False
2023-01-03 16:49:00,Thomas's Bar,Rum,Bacardi,1753.67,1643.57,382.12,3015.12,2023-01-03,1,3,Tuesday,16,4800.0,3015.12,False,False
2023-01-04 19:32:00,Smith's Bar,Vodka,Absolut,1317.14,0.0,387.5,929.64,2023-01-04,1,4,Wednesday,19,4100.0,929.6400000000001,False,False
